Head,Relation,Tail,Head_Class,Tail_Class,Title,Articles
Letter of Amendment ,CONCERNS,Amendment Updating,Budget_Amendment ,Budget_Amendment ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Amendment Updating,INCLUDED_IN,Letter of Amendment ,Budget_Amendment ,Budget_Amendment ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Letter of Amendment ,CREATED_BY,European Commission,Budget_Amendment ,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Letter of Amendment ,SEND_TO ,European Council ,Budget_Amendment ,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Letter of Amendment ,SEND_TO ,European Parliament ,Budget_Amendment ,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Budget Amendment,CONCERNS ,Amendment Updating,Budget_Amendment ,Budget_Amendment ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 44  Draft amending budgets 
Budget Amendment,CONCERNS ,Expenditure Estimates ,Budget_Amendment ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Budget Amendment,SUBCLASS_OF,Draft Budget ,Budget_Amendment ,Draft_Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 44  Draft amending budgets 
Draft Budget ,SUBCLASS_OF,Budget ,Draft_Budget,Budget,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Draft Budget ,COMPLIES_TO,Euratom Treaty,Draft_Budget,Legal_Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,"Article 54  Compliance with the multiannual financial framework and Decision 2014/335/EU, Euratom "
