Head,Relation,Tail,Head Class,Tail Class,Title,Article
Letter of Amendment ,CONCERNS,Amendment Updating,Budget Amendment ,Budget Amendment ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Amendment Updating,INCLUDED_IN,Letter of Amendment ,Budget Amendment ,Budget Amendment ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Letter of Amendment ,CREATED_BY,European Commission,Budget Amendment ,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Letter of Amendment ,SEND_TO ,European Council ,Budget Amendment ,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Letter of Amendment ,SEND_TO ,European Parliament ,Budget Amendment ,European Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Budget Amendment,CONCERNS ,Amendment Updating,Budget Amendment ,Budget Amendment ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 44  Draft amending budgets 
Budget Amendment,CONCERNS ,Expenditure Estimates ,Budget Amendment ,Estimates ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget
Budget Amendment,SUBCLASS_OF,Draft Budget ,Budget Amendment ,Draft Budget ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 44  Draft amending budgets 
Draft Budget ,SUBCLASS_OF,Budget ,Draft Budget,Budget,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget 
Draft Budget ,COMPLIES_TO,Euratom Treaty,Draft Budget,Legal Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,"Article 54  Compliance with the multiannual financial framework and Decision 2014/335/EU, Euratom "
Draft Budget ,COMPLIES_TO,Multiannual Financial Framework,Draft Budget,Legal Construct ,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,"Article 54  Compliance with the multiannual financial framework and Decision 2014/335/EU, Euratom "
