Head,Relation,Tail,Head_Class,Tail_Class,Title,Articles,Content_Text
Letter of Amendment,CONCERNS,Amendment Updating,Budget_Amendment,Budget_Amendment,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget,"On the basis of any new information which was not available at the time the draft budget was established, the Commission may, on its own initiative or if requested by another Union institutions in respect of its respective section, submit simultaneously to the European Parliament and to the Council one or more letters of amendment to the draft budget before the Conciliation Committee referred to in Article 314 TFEU is convened. Such letters may include a letter of amendment updating, in particular, expenditure estimates for agriculture. L 193/50  30)."
Amendment Updating,INCLUDED_IN,Letter of Amendment,Budget_Amendment,Budget_Amendment,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget,"On the basis of any new information which was not available at the time the draft budget was established, the Commission may, on its own initiative or if requested by another Union institutions in respect of its respective section, submit simultaneously to the European Parliament and to the Council one or more letters of amendment to the draft budget before the Conciliation Committee referred to in Article 314 TFEU is convened. Such letters may include a letter of amendment updating, in particular, expenditure estimates for agriculture. L 193/50  30)."
Letter of Amendment,CREATED_BY,European Commission,Budget_Amendment,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget,"On the basis of any new information which was not available at the time the draft budget was established, the Commission may, on its own initiative or if requested by another Union institutions in respect of its respective section, submit simultaneously to the European Parliament and to the Council one or more letters of amendment to the draft budget before the Conciliation Committee referred to in Article 314 TFEU is convened. Such letters may include a letter of amendment updating, in particular, expenditure estimates for agriculture. L 193/50  30)."
Letter of Amendment,SEND_TO,European Council,Budget_Amendment,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget,"On the basis of any new information which was not available at the time the draft budget was established, the Commission may, on its own initiative or if requested by another Union institutions in respect of its respective section, submit simultaneously to the European Parliament and to the Council one or more letters of amendment to the draft budget before the Conciliation Committee referred to in Article 314 TFEU is convened. Such letters may include a letter of amendment updating, in particular, expenditure estimates for agriculture. L 193/50  30)."
Letter of Amendment,SEND_TO,European Parliament,Budget_Amendment,European_Union,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget,"On the basis of any new information which was not available at the time the draft budget was established, the Commission may, on its own initiative or if requested by another Union institutions in respect of its respective section, submit simultaneously to the European Parliament and to the Council one or more letters of amendment to the draft budget before the Conciliation Committee referred to in Article 314 TFEU is convened. Such letters may include a letter of amendment updating, in particular, expenditure estimates for agriculture. L 193/50  30)."
Budget Amendment,CONCERNS,Amendment Updating,Budget_Amendment,Budget_Amendment,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 44  Draft amending budgets,"The Commission may present draft amending budgets which are primarily revenue-driven in the following circum­stances: (a) to enter in the budget the balance of the preceding financial year, in accordance with the procedure laid down in Article 18; (b) to revise the forecast of own resources on the basis of updated economic forecasts; (c) to update the revised forecast of own resources and other revenue, as well as to review the availability of, and need for, payment appropriations. If there are unavoidable, exceptional and unforeseen circumstances, in particular in view of the mobilisation of the European Union Solidarity Fund, the Commission may present draft amending budgets which are primarily expenditure- driven. Requests for amending budgets, in the same circumstances as referred to in paragraph 1, from Union institutions other than the Commission shall be sent to the Commission. Before presenting a draft amending budget, the Commission and the other Union institutions concerned shall examine the scope for reallocation of the relevant appropriations, with particular reference to any expected under-implementation of appropriations. Article 43 shall apply to amending budgets. Amending budgets shall be substantiated by reference to the budget the estimates of which they are amending. The Commission shall, except in duly justified exceptional circumstances or in the case of the mobilisation of the European Union Solidarity Fund for which a draft amending budget can be presented at any time of the year, submit its draft amending budgets simultaneously to the European Parliament and to the Council by 1 September of each financial year. It may attach an opinion to the requests for amending budgets from other Union institutions. Draft amending budgets shall be accompanied by statements of reasons and information on budget implementation for the preceding and current financial years available at the time of their establishment."
Budget Amendment,CONCERNS,Expenditure Estimates,Budget_Amendment,Estimates,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 42  Letter of amendment to the draft budget,"On the basis of any new information which was not available at the time the draft budget was established, the Commission may, on its own initiative or if requested by another Union institutions in respect of its respective section, submit simultaneously to the European Parliament and to the Council one or more letters of amendment to the draft budget before the Conciliation Committee referred to in Article 314 TFEU is convened. Such letters may include a letter of amendment updating, in particular, expenditure estimates for agriculture. L 193/50  30)."
Budget Amendment,SUBCLASS_OF,Draft Budget,Budget_Amendment,Draft_Budget,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 44  Draft amending budgets,"The Commission may present draft amending budgets which are primarily revenue-driven in the following circum­stances: (a) to enter in the budget the balance of the preceding financial year, in accordance with the procedure laid down in Article 18; (b) to revise the forecast of own resources on the basis of updated economic forecasts; (c) to update the revised forecast of own resources and other revenue, as well as to review the availability of, and need for, payment appropriations. If there are unavoidable, exceptional and unforeseen circumstances, in particular in view of the mobilisation of the European Union Solidarity Fund, the Commission may present draft amending budgets which are primarily expenditure- driven. Requests for amending budgets, in the same circumstances as referred to in paragraph 1, from Union institutions other than the Commission shall be sent to the Commission. Before presenting a draft amending budget, the Commission and the other Union institutions concerned shall examine the scope for reallocation of the relevant appropriations, with particular reference to any expected under-implementation of appropriations. Article 43 shall apply to amending budgets. Amending budgets shall be substantiated by reference to the budget the estimates of which they are amending. The Commission shall, except in duly justified exceptional circumstances or in the case of the mobilisation of the European Union Solidarity Fund for which a draft amending budget can be presented at any time of the year, submit its draft amending budgets simultaneously to the European Parliament and to the Council by 1 September of each financial year. It may attach an opinion to the requests for amending budgets from other Union institutions. Draft amending budgets shall be accompanied by statements of reasons and information on budget implementation for the preceding and current financial years available at the time of their establishment."
Draft Budget,SUBCLASS_OF,Budget,Draft_Budget,Budget,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,Article 41  Draft budget,"The Commission shall submit a proposal containing the draft budget to the European Parliament and to the Council by 1 September of the year preceding that in which the budget is to be implemented. It shall transmit that proposal, for information, to the national parliaments. The draft budget shall contain a summary general statement of the revenue and expenditure of the Union and shall consolidate the estimates referred to in Article 39. It may also contain different estimates from those drawn up by Union institutions. The draft budget shall follow the structure and presentation set out in Articles 47 to 52. Each section of the draft budget shall be preceded by an introduction drawn up by the Union institution concerned. The Commission shall draw up the general introduction to the draft budget. The general introduction shall comprise financial tables covering the main data by titles and justifications for the changes in the appropriations from one financial year to the next by categories of expenditure of the multiannual financial framework. In order to provide more precise and reliable forecasts of the budgetary implications of legislation in force and of pending legislative proposals, the Commission shall attach to the draft budget an indicative financial programming for the following years, structured by category of expenditure, policy area and budget line. The complete financial programming shall cover the categories of expenditure covered by point 30 of the Interinstitutional Agreement of 2 December 2013 between the European Parliament, the Council and the Commission on budgetary discipline, on cooperation in budgetary matters and on sound financial management ( 1 ). Summary data shall be provided for the categories of expenditure not covered by point 30 of that Interinstitutional Agreement. The indicative financial programming shall be updated after the adoption of the budget to incorporate the results of the budgetary procedure and any other relevant decisions. The Commission shall attach to the draft budget: (a) a comparative table including the draft budget for other Union institutions and the original estimates of other Union institutions as sent to the Commission and, where applicable, setting out the reasons for which the draft budget contains estimates different from those drawn up by other Union institutions; (b) any working document it considers useful in connection with the establishment plans of Union institutions, showing the latest authorised establishment plan and presenting: (i) all staff employed by the Union, displayed by type of employment contract; (ii) a statement of the policy on posts and external personnel and on gender balance; (iii) the number of posts actually filled on the last day of the year preceding the year in which the draft budget is presented and the annual average of full-time equivalents actually in place for that preceding year, indicating their distribution by grade, by gender and by administrative unit;  L 193/47 1. (iv) a list of posts broken down per policy area; (v) for each category of external personnel, the initial estimated number of full-time equivalents on the basis of the authorised appropriations, as well as the number of persons actually in place at the beginning of the year in which the draft budget is presented, indicating their distribution by function group and, as appropriate, by grade; (c) for the Union bodies referred to in Articles 70 and 71, a working document presenting the revenue and expenditure, as well as all information on staff as referred to in point (b) of this subparagraph; (d) a working document on the planned implementation of appropriations for the financial year and on commitments outstanding; (e) as regards appropriations for administration, a working document presenting administrative expenditure to be implemented by the Commission under its section of the budget; (f) a working document on pilot projects and preparatory actions which also contain an assessment of the results and the follow-up envisaged; (g) as regards funding to international organisations, a working document containing: (i) a summary of all contributions, with a breakdown per Union programme or fund and per international organ­isation; (ii) a statement of reasons explaining why it is more efficient for the Union to fund those international organisations rather than to act directly; (h) programme statements or any other relevant document containing the following: (i) an indication of which Union policies and objectives the programme is to contribute to; (ii) a clear rationale for intervention at Union level in accordance, inter alia, with the principle of subsidiarity; (iii) progress in achieving programme objectives, as specified in Article 33; (iv) a full justification, including a cost-benefit analysis for proposed changes in the level of appropriations; (v) information on the implementation rates of the programme for the current and preceding financial year; (i) a summary statement of the schedule of payments summarising per programme and per heading payments due in subsequent financial years to meet budgetary commitments proposed in the draft budget entered into in preceding financial years. Where public-private partnerships make use of financial instruments, the information relating to those instruments shall be included in the working document referred to in paragraph 4. Where the Commission makes use of financial instruments, it shall attach to the draft budget a working document presenting for each financial instrument the following: (a) a reference to the financial instrument and its basic act, together with a general description of the instrument, its impact on the budget, its duration and the added value of the Union contribution; (b) the financial institutions involved in implementation, including any issues relating to the application of Article 155(2); (c) the contribution of the financial instrument to the achievement of the objectives of the programme concerned as measured by the indicators established including, where applicable, the geographical diversification; (d) the envisaged operations, including target volumes based on the target leverage and expected private capital to be mobilised or, when unavailable, on the leverage effect arising from the existing financial instruments; (e) budget lines corresponding to the relevant operations and the aggregate budgetary commitments and payments from the budget; (f) the average duration between the budgetary commitment to the financial instruments and the legal commitments for individual projects in the form of equity or debt, where that duration exceeds three years; (g) revenue and repayments under Article 209(3), presented separately, including an evaluation of their use; L 193/48  (h) the value of equity investments, with respect to preceding years; (i) the total amount of provisions for risks and liabilities, as well as any information on the financial risk exposure of the Union, including any contingent liability; (j) impairments of assets and called guarantees both for the preceding year and the respective accumulated figures; (k) the performance of the financial instrument, including the investments realised, the target and the achieved leverage and multiplier effects, and also the amount of private capital mobilised; (l) the provisioned resources in the common provisioning fund and, when applicable, the balance on the fiduciary account. The working document referred to in the first subparagraph shall also include an overview of the administrative expenditure arising from management fees and other financial and operating charges paid for the management of financial instruments in total and per managing party and per financial instrument managed. The Commission shall explain the reasons for the duration referred to in point (f) of the first subparagraph and shall, where appropriate, provide an action plan for the reduction of the duration in the framework of the annual discharge procedure. The working document referred to in the first subparagraph shall summarise in a clear and concise table information per financial instrument. Where the Union has granted a budgetary guarantee, the Commission shall attach to the draft budget a working document presenting for each budgetary guarantee and for the common provisioning fund the following: (a) a reference to the budgetary guarantee and its basic act, together with a general description of the budgetary guarantee, its impact on the financial liabilities of the budget, its duration and the added value of the Union support; (b) the counterparts for the budgetary guarantee, including any issues relating to the application of Article 155(2); (c) the budgetary guarantee’s contribution to the achievement of the objectives of the budgetary guarantee as measured by the indicators established, including, where applicable, the geographical diversification and the mobilisation of private sector resources; (d) information on operations covered by the budgetary guarantee on an aggregated basis by sectors, countries and instruments, including, where applicable, portfolios and support combined with other Union actions; (e) the amount transferred to recipients as well as an assessment of the leverage effect achieved by the projects supported under the budgetary guarantee; (f) information aggregated on the same basis as referred to in point (d) on calls on the budgetary guarantee, losses, returns, amounts recovered and any other payments received; (g) information about the financial management, the performance and the risk of the common provisioning fund at the end of the preceding calendar year; (h) the effective provisioning rate of the common provisioning fund and, where applicable, the subsequent operations in accordance with Article 213(4); (i) the financial flows in the common provisioning fund during the preceding calendar year as well as the significant transactions and any relevant information on the financial risk exposure of the Union; (j) pursuant to Article 210(3), an assessment of the sustainability of the contingent liabilities borne by the budget arising from budgetary guarantees or financial assistance. Where the Commission makes use of Union trust funds for external actions, it shall attach to the draft budget a detailed working document on the activities supported by those trust funds, including: (a) on their implementation, containing, inter alia, information on the monitoring arrangements with the entities implementing the trust funds;   (b) their management costs; (c) the contributions from other donors than the Union; (d) a preliminary assessment of their performance based on the conditions set out in Article 234(3); (e) a description on how their activities have contributed to the objectives laid down in the basic act of the instrument from which the Union contribution to the trust funds were provided. The Commission shall attach to the draft budget a list of its decisions imposing fines in the area of competition law and the amount of each fine imposed, together with information on whether the fines have become definitive or whether they are or could still become subject to an appeal before the Court of Justice of the European Union, as well as, where possible, information on when each fine is expected to become definitive. The Commission shall attach to the draft budget a working document indicating, for each budget line receiving internal or external assigned revenue: (a) the estimated amount of such revenue to be received; (b) the estimated amount of such revenue carried over from preceding years. The Commission shall also attach to the draft budget any further working document it considers useful for the European Parliament and for the Council to assess the budget requests. In accordance with Article 8(5) of Council Decision 2010/427/EU ( 1 ), the Commission shall transmit to the European Parliament and to the Council, together with the draft budget, a working document presenting, in a compre­hensive way: (a) all administrative and operational expenditure relating to the external actions of the Union, including CFSP and common security and defence policy tasks, and financed from the budget; (b) the EEAS’ overall administrative expenditure for the preceding year, broken down into expenditure per Union delegation and expenditure for the central administration of the EEAS, together with operational expenditure, broken down by geographic area (regions, countries), thematic areas, Union delegations and missions. The working document referred to in paragraph 10 shall also: (a) show the number of posts for each grade in each category and the number of permanent and temporary posts, including contractual and local staff authorised within the limits of the appropriations in each Union delegation, as well as in the central administration of the EEAS; (b) show any increase or reduction, compared to the preceding financial year, of posts by grade and category in the central administration of the EEAS, and in all Union delegations; (c) show the number of posts authorised for the financial year and for the preceding financial year, as well as the number of posts occupied by diplomats seconded from Member States, and by Union officials; (d) provide a detailed picture of all personnel in place in Union delegations at the time of presenting the draft budget, including a breakdown by geographic area, gender, individual country and mission, distinguishing between estab­lishment plan posts, contract agents, local agents and seconded national experts, and of appropriations requested in the draft budget for such types of personnel with corresponding estimates of the number of full-time equivalents on the basis of the appropriations requested."
Draft Budget,COMPLIES_TO,Euratom Treaty,Draft_Budget,Legal_Construct,TITLE III ESTABLISHMENT AND STRUCTURE OF THE BUDGET,"Article 54  Compliance with the multiannual financial framework and Decision 2014/335/EU, Euratom","The budget shall comply with the multiannual financial framework and Decision 2014/335/EU, Euratom."
