Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_clean_parag
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 1  Subject matter ,this regulation lays down the rules for the establishment and the implementation of the general budget of the european union and of the european atomic energy community (‘the budget’) and the presentation and auditing of the european union and of the european atomic energy community accounts.,this regulation lays down the rules for the establishment and the implementation of the general budget of the european union and of the european atomic energy community (the budget) and the presentation and auditing of the european union and of the european atomic energy community accounts.,"[[{'head': 'european atomic energy community', 'type': 'part of', 'tail': 'european union'}], [{'head': 'european atomic energy community', 'type': 'parent organization', 'tail': 'european union'}], [{'head': 'european atomic energy community accounts', 'type': 'country', 'tail': 'european union'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘applicant’ means a natural person or an entity with or without legal personality who has submitted an application in a grant award procedure or in a contest for prizes;,applicant means a natural person or an entity with or without legal personality who has submitted an application in a grant award procedure or in a contest for prizes,"[[{'head': 'natural person', 'type': 'subclass of', 'tail': 'entity'}], [{'head': 'natural person', 'type': 'subclass of', 'tail': 'entity'}, {'head': 'entity', 'type': 'has part', 'tail': 'natural person'}], [{'head': 'legal personality', 'type': 'subclass of', 'tail': 'entity'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘application document’ means a tender, a request to participate, a grant application or an application in a contest for prizes;",application document means a tender a request to participate a grant application or an application in a contest for prizes,"[[{'head': 'grant application', 'type': 'subclass of', 'tail': 'application'}], [{'head': 'tender', 'type': 'subclass of', 'tail': 'application'}], [{'head': 'application', 'type': 'subclass of', 'tail': 'tender'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘award procedure’ means a procurement procedure, a grant award procedure, a contest for prizes, or a procedure for the selection of experts or persons or entities implementing the budget pursuant to point (c) of the first subparagraph of article 62(1);",award procedure means a procurement procedure a grant award procedure a contest for prizes or a procedure for the selection of experts or persons or entities implementing the budget pursuant to point of the first subparagraph of article 62(1),"[[{'head': 'procurement', 'type': 'part of', 'tail': 'budget'}], [{'head': 'grant', 'type': 'subclass of', 'tail': 'procurement'}], [{'head': 'procurement', 'type': 'facet of', 'tail': 'budget'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘basic act’ means a legal act, other than a recommendation or an opinion, which provides a legal basis for an action and for the implementation of the corresponding expenditure entered in the budget or of the budgetary guarantee or financial assistance backed by the budget, and which may take any of the following forms: (a) in implementation of the treaty on the functioning of the european union (tfeu) and the treaty establishing the european atomic energy community (the euratom treaty), the form of a regulation, a directive or a decision within the meaning of article 288 tfeu; or (b) in implementation of title v of the treaty on european union (teu), one of the forms specified in articles 28(1) and 31(2), article 33, and articles 42(4) and 43(2) teu;",basic act means a legal act other than a recommendation or an opinion which provides a legal basis for an action and for the implementation of the corresponding expenditure entered in the budget or of the budgetary guarantee or financial assistance backed by the budget and which may take any of the following forms: in implementation of the treaty on the functioning of the european union (tfeu) and the treaty establishing the european atomic energy community (the euratom treaty) the form of a regulation a directive or a decision within the meaning of article 288 tfeu or in implementation of title v of the treaty on european union (teu) one of the forms specified in articles 28(1) and 31(2) article 33 and articles 42(4) and 43(2) teu,"[[{'head': 'euratom treaty', 'type': 'followed by', 'tail': 'treaty establishing the european atomic energy community'}], [{'head': 'euratom treaty', 'type': 'instance of', 'tail': 'treaty'}], [{'head': 'directive', 'type': 'subclass of', 'tail': 'regulation'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘beneficiary’ means a natural person or an entity with or without legal personality with whom a grant agreement has been signed;,beneficiary means a natural person or an entity with or without legal personality with whom a grant agreement has been signed,"[[{'head': 'natural person', 'type': 'subclass of', 'tail': 'entity'}], [{'head': 'entity', 'type': 'subclass of', 'tail': 'natural person'}], [{'head': 'natural person', 'type': 'subclass of', 'tail': 'entity'}, {'head': 'entity', 'type': 'has part', 'tail': 'natural person'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘blending facility or platform’ means a cooperation framework established between the commission and devel­opment or other public finance institutions with a view to combining non-repayable forms of support and/or financial instruments and/or budgetary guarantees from the budget and repayable forms of support from devel­opment or other public finance institutions, as well as from private-sector finance institutions and private-sector investors;",blending facility or platform means a cooperation framework established between the commission and devel­opment or other public finance institutions with a view to combining nonrepayable forms of support andor financial instruments andor budgetary guarantees from the budget and repayable forms of support from devel­opment or other public finance institutions as well as from privatesector finance institutions and privatesector investors,"[[{'head': 'budget', 'type': 'part of', 'tail': 'budget'}], [{'head': 'devel\xadopment', 'type': 'subclass of', 'tail': 'public finance institutions'}], [{'head': 'budget', 'type': 'part of', 'tail': 'public finance institution'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘budget implementation’ means the carrying out of activities relating to the management, monitoring, control and auditing of budget appropriations in accordance with the methods provided for in article 62;",budget implementation means the carrying out of activities relating to the management monitoring control and auditing of budget appropriations in accordance with the methods provided for in article 62,"[[{'head': 'auditing', 'type': 'part of', 'tail': 'management monitoring control'}], [{'head': 'budget implementation', 'type': 'facet of', 'tail': 'budget appropriations'}], [{'head': 'auditing', 'type': 'part of', 'tail': 'management monitoring control and auditing'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘budgetary commitment’ means the operation by which the authorising officer responsible reserves the budget appropriations necessary to cover subsequent payments to honour legal commitments; l 193/26,budgetary commitment means the operation by which the authorising officer responsible reserves the budget appropriations necessary to cover subsequent payments to honour legal commitments l 19326,"[[{'head': 'authorising officer', 'type': 'field of this occupation', 'tail': 'budget appropriations'}], [{'head': 'authorising officer', 'type': 'field of this occupation', 'tail': 'budget appropriations'}, {'head': 'budget appropriations', 'type': 'practiced by', 'tail': 'authorising officer'}], [{'head': 'reserves', 'type': 'subclass of', 'tail': 'appropriations'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘budgetary guarantee’ means a legal commitment of the union to support a programme of actions by taking on the budget a financial obligation that can be called upon should a specified event materialise during the implementation of the programme, and that remains valid for the duration of the maturity of the commitments made under the supported programme;",budgetary guarantee means a legal commitment of the union to support a programme of actions by taking on the budget a financial obligation that can be called upon should a specified event materialise during the implementation of the programme and that remains valid for the duration of the maturity of the commitments made under the supported programme,"[[{'head': 'programme of actions', 'type': 'participant', 'tail': 'union'}], [{'head': 'budgetary guarantee', 'type': 'participant', 'tail': 'union'}], [{'head': 'budgetary guarantee', 'type': 'facet of', 'tail': 'union'}]]"
