Article,Triplet,Title,Head,Relation,Tail
Article 2  Definitions,"('tender', 'subclass of', 'procurement')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",tender,subclass of,procurement
Article 2  Definitions,"('tfeu', 'foundational text', 'treaty on the functioning of the european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",tfeu,foundational text,treaty on the functioning of the european union
Article 2  Definitions,"('treaty on european union', 'foundational text', 'article 288 tfeu')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",treaty on european union,foundational text,article 288 tfeu
Article 2  Definitions,"('article 33', 'supplement to', 'teu')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",article 33,supplement to,teu
Article 2  Definitions,"('devel\xadopment', 'subclass of', 'budget')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",devel­opment,subclass of,budget
Article 2  Definitions,"('leasing', 'follows', 'lease')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",leasing,follows,lease
Article 2  Definitions,"('rental', 'follows', 'lease')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",rental,follows,lease
Article 2  Definitions,"('hire purchase', 'follows', 'leasing')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",hire purchase,follows,leasing
Article 2  Definitions,"('buildings', 'instance of', 'immovable property')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",buildings,instance of,immovable property
Article 2  Definitions,"('concession contract', 'subclass of', 'contract')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",concession contract,subclass of,contract
Article 2  Definitions,"('union', 'foundational text', 'contribution agreement')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,foundational text,contribution agreement
Article 2  Definitions,"('counterpart', 'instance of', 'budgetary guarantee')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",counterpart,instance of,budgetary guarantee
Article 2  Definitions,"('crisis', 'has cause', 'climate change')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",crisis,has cause,climate change
Article 2  Definitions,"('environmental degradation', 'has cause', 'climate change')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",environmental degradation,has cause,climate change
Article 2  Definitions,"('european', 'executive body', 'commission')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european,executive body,commission
Article 2  Definitions,"('union', 'authority', 'commission')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,authority,commission
