title,relation,tail,title,article
regulation,lay,the rules for the establishment and the implementation of the general budget of the european union and of the european atomic energy community (the budget) and the presentation and auditing of the european union and of the european atomic energy community accounts,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 1  Subject matter 
applicant,mean,a natural person or an entity with or without legal personality who has submitted an application in a grant award procedure or in a contest for prizes,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
application document,mean,a tender a request to participate a grant application or an application in a contest for prizes,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
award procedure,mean,a procurement procedure a grant award procedure a contest for prizes or a procedure for the selection of experts or persons or entities implementing the budget pursuant to point of the first subparagraph of article 62(1,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
basic act,mean,a legal act other than a recommendation or an opinion which provides a legal basis for an action and for the implementation of the corresponding expenditure entered in the budget or of the budgetary guarantee or financial assistance backed by the budget and which may take any of the following forms in implementation of the treaty on the functioning of the european union (tfeu) and the treaty establishing the european atomic energy community (the euratom treaty,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
beneficiary,mean,a natural person or an entity with or without legal personality with whom a grant agreement has been signed,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
grant agreement,sign,with whom,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
blend facility platform,mean,a cooperation framework established between the commission and devel­opment or other public finance institutions with a view to combining nonrepayable forms of support andor financial instruments andor budgetary guarantees from the budget and repayable forms of support from devel­opment or other public finance institutions as well as from privatesector finance institutions and privatesector investors,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
cooperation framework establish commission devel­opment public finance institution view combine nonrepayable form support andor financial instrument,andor,budgetary guarantees from the budget and repayable forms of support from devel­opment or other public finance institutions as well as from privatesector finance institutions and privatesector investors,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
budget implementation,mean,the carrying out of activities relating to the management monitoring control and auditing of budget appropriations in accordance with the methods provided for in article 62,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
budgetary commitment,mean,the operation by which the authorising officer responsible reserves the budget appropriations necessary to cover subsequent payments to honour legal commitments l,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
budgetary guarantee,mean,a legal commitment of the union to support a programme of actions by taking on the budget a financial obligation that can be called upon should a specified event materialise during the implementation of the programme and that remains valid for the duration of the maturity of the commitments made under the supported programme,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
building contract,mean,a contract covering the purchase exchange long lease usufruct leasing rental or hire purchase with or without option to buy of land buildings or other immovable property,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
land building immovable property,cover,that the candidate has obtained a valid building permit for land buildings or other immovable property both existing buildings and buildings before completion provided,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
candidate,obtain,a valid building permit for land buildings or other immovable property,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
land building immovable property,cover,buildings designed in accordance with the specifications of the contracting authority that are covered by works contracts,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
candidate,mean,an economic operator that has sought an invitation or has been invited to take part in a restricted procedure a competitive procedure with negotiation a competitive dialogue an innovation partnership a design contest or a negotiated procedure,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
central purchase body,mean,a contracting authority providing centralised purchasing activities and,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
concession contract,mean,a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to entrust the execution of works or the provision and management of services to an economic operator (the concession) and where: the remuneration consists either solely in the right to exploit the works or services or in that right together with payment the award of the concession contract involves the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk or both,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contract pecuniary interest,conclude,in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to entrust the execution of works or the provision and management of services to an economic operator (the concession),"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
